WS-#,Site,Time,Date,pH,Type,deep C screen,Na mg/L,Mg mg/L,Al mg/L,Si mg/L,K mg/L,Ca mg/L,Mn mg/L,Fe mg/L,F mg/L,Cl mg/L,NO3 mg/L,SO4 mg/L,DOC mg/L,TDN mg/L,NH4 mg N/L,Alm mg/L,Alo mg/L
3,JD05,NA,2009-07-10T00:00:00Z,5.23,G6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.27,0,3.04,2.99,0.13,NA,NA,NA
2632,JD05,10:10:00,2014-08-04T00:00:00Z,5.22,G6,NA,0.79,0.24,0.3,2.68,0.06,0.65,0.01,0.02,0.07,0.43,0,2.79,3.73,0.13,0.003,0.142,0.059
2639,JD05,09:15:00,2014-08-08T00:00:00Z,5.25,G6,NA,0.78,0.24,0.27,2.73,0.08,0.63,0.01,0.02,0.06,0.43,0,2.77,3.49,0.14,0.003,0.125,0.057
2646,JD05,08:00:00,2014-08-11T00:00:00Z,5.65,G6,NA,1.15,0.23,0.27,2.53,0.08,0.64,0.01,0.02,0.03,0.47,0.02,2.82,3.87,0.14,0.02,0.125,0.055
2650,JD05,07:55:00,2014-08-12T00:00:00Z,5.8,G6,NA,0.77,0.26,0.24,2.47,0.05,0.68,0.01,0.02,0.03,0.46,0,2.85,3.73,0.12,0.008,0.094,0.049
2656,JD05,08:10:00,2014-08-13T00:00:00Z,5.65,G6,NA,0.71,0.23,0.27,2.55,0.07,0.65,0.01,0.02,0.07,0.46,0,2.54,4.29,0.19,0.007,0.122,0.055
4,JD06,NA,2009-07-10T00:00:00Z,4.91,G6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.34,0,2.44,2.67,0.18,NA,NA,NA
5,JD07,NA,2009-07-10T00:00:00Z,5.29,G6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.34,0,2.2,2.93,0.37,NA,NA,NA
6,JD08,NA,2009-07-10T00:00:00Z,5.57,G6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.29,0,2.9,1.02,0.09,NA,NA,NA
7,JD10,NA,2009-07-10T00:00:00Z,4.95,G6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.28,0,3.06,2.62,0.13,NA,NA,NA
8,JD11,NA,2009-07-10T00:00:00Z,5.11,G6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.27,0,2.94,4.83,0.13,NA,NA,NA
9,JD12,NA,2009-07-10T00:00:00Z,5.2,G6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,0.83,0,2.8,1.89,0.15,NA,NA,NA
10,JD13,NA,2009-07-10T00:00:00Z,5.01,G6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.28,0,2.88,1.77,0.1,NA,NA,NA
13,JD17,NA,2009-07-10T00:00:00Z,4.7,G6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.31,0,3.06,4.88,0.13,NA,NA,NA
2633,JD17,11:00:00,2014-08-04T00:00:00Z,5.06,G6,NA,0.74,0.19,0.56,2.73,0.01,0.69,0.01,0.06,0.05,0.44,0.04,2.76,5.07,0.15,0.018,0.255,0.116
2640,JD17,10:10:00,2014-08-08T00:00:00Z,5.02,G6,NA,0.78,0.21,0.52,2.78,0.02,0.72,0.01,0.07,0.04,0.44,0,3.01,4.64,0.15,0.003,0.319,0.121
2647,JD17,09:05:00,2014-08-11T00:00:00Z,5.31,G6,NA,0.93,0.21,0.35,3.03,0.04,0.76,0.01,0.18,0.03,0.47,0.05,3.12,4.39,0.16,0.006,0.192,0.108
2651,JD17,09:00:00,2014-08-12T00:00:00Z,5.13,G6,NA,0.93,0.2,0.43,3,0.03,0.76,0.01,0.06,0.04,0.46,0.04,3.35,4.16,0.13,0.003,0.229,0.103
2657,JD17,08:45:00,2014-08-13T00:00:00Z,5.13,G6,NA,0.95,0.2,0.5,3.05,0.03,0.72,0.01,0.05,0.04,0.49,0,3.37,4.59,0.15,0.003,0.284,0.119
14,JD20,NA,2009-07-10T00:00:00Z,5.06,G6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,0.23,0,3,67.45,0.1,NA,NA,NA
461,JD20,NA,2010-08-26T00:00:00Z,5.02,G6,NA,0.84,0.13,0.16,2.06,0.02,0.58,0.01,0.02,0.05,0.33,0,3.27,1.17,0.05,NA,NA,NA
613,JD20,NA,2011-04-08T00:00:00Z,4.9,G6,NA,0.8,0.18,0.14,2.24,0.02,0.56,0.01,0.02,0.04,0.5,0,3.69,0.85,0.03,NA,NA,NA
626,JD20,NA,2011-04-14T00:00:00Z,4.96,G6,NA,0.71,0.16,0.15,2.11,0.02,0.54,0.01,0.02,0.03,0.38,0.02,3.33,0.95,0.04,NA,NA,NA
651,JD20,NA,2011-05-24T00:00:00Z,5.04,G6,NA,1.1,0.27,0.46,3.86,0.29,1.17,0.01,0.24,0.04,0.33,0.02,3.78,2.23,0.11,NA,NA,NA
684,JD20,NA,2011-08-16T00:00:00Z,4.9,G6,NA,0.79,0.11,0.16,1.71,0.14,0.61,0.01,0.02,0.02,0.26,0.01,2.79,1.37,0.07,NA,NA,NA
15,JD23,NA,2009-07-10T00:00:00Z,4.89,G6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.25,0,2.73,1.53,0.07,NA,NA,NA
462,JD23,NA,2010-08-26T00:00:00Z,5.04,G6,NA,0.84,0.13,0.13,1.8,0.05,0.57,0.01,0.02,0.04,0.34,0,3.23,1.36,0.08,NA,NA,NA
17,JD29,NA,2009-07-10T00:00:00Z,4.84,G6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.34,0,2.62,1.5,0.07,NA,NA,NA
2634,JD29,10:25:00,2014-08-04T00:00:00Z,5.28,G6,NA,0.79,0.12,0.09,1.63,0.04,0.56,0.02,0.02,0.05,0.42,0.03,2.53,1.45,0.07,0.003,0.05,0.015
2641,JD29,09:30:00,2014-08-08T00:00:00Z,5.52,G6,NA,0.77,0.14,0.08,1.58,0.04,0.63,0.03,0.02,0.03,0.4,0,2.31,1.61,0.09,0.003,0.06,0.019
18,JD30,NA,2009-07-10T00:00:00Z,4.63,G6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.28,0,2.46,1.68,0.07,NA,NA,NA
2635,JD30,10:45:00,2014-08-04T00:00:00Z,5.01,G6,NA,0.6,0.09,0.18,1.39,0.04,0.4,0.05,0.09,0.03,0.49,0.06,2.63,1.6,0.1,0.003,0.167,0.022
2642,JD30,09:50:00,2014-08-08T00:00:00Z,5.01,G6,NA,0.69,0.1,0.18,1.47,0.03,0.42,0.03,0.02,0.02,0.47,0.06,2.59,1.53,0.11,0.003,0.18,0.024
2648,JD30,08:50:00,2014-08-11T00:00:00Z,5.16,G6,NA,0.64,0.11,0.12,1.53,0.01,0.41,0.07,0.02,0.03,0.48,0.06,2.62,1.53,0.09,0.008,0.129,0.023
2652,JD30,08:40:00,2014-08-12T00:00:00Z,4.99,G6,NA,0.65,0.11,0.17,1.48,0.02,0.41,0.04,0.02,0.02,0.48,0.05,2.67,1.68,0.09,0.005,0.161,0.024
2658,JD30,08:40:00,2014-08-13T00:00:00Z,5.07,G6,NA,0.63,0.12,0.2,1.37,0.05,0.41,0.03,0.02,0.02,0.54,0.24,2.5,1.69,0.16,0.003,0.151,0.025
19,JD31,NA,2009-07-10T00:00:00Z,4.62,G6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.27,0,2.39,1.86,0.08,NA,NA,NA
154,R11,NA,2009-08-28T00:00:00Z,5.83,G6,NA,1.43,0.27,0.05,4.28,0.26,1.03,0.13,0.31,0.03,0.44,0,2.52,1.43,0.08,NA,NA,NA
148,R11,NA,2009-08-29T00:00:00Z,5.71,G6,NA,1.68,0.29,0.05,4.55,0.54,1.14,0.21,0.08,0.03,0.41,0,2.98,1.59,0.15,NA,NA,NA
169,R11,NA,2009-10-25T00:00:00Z,5.21,G6,NA,1.18,0.23,0.11,3.31,0.05,0.84,0.04,0.03,0.03,0.29,0,3.11,1.98,0.07,NA,NA,NA
178,R11,NA,2009-12-03T00:00:00Z,6.16,G6,NA,1.08,0.23,0.13,3.39,0.03,0.73,0.04,0.03,0.03,0.24,0,3.06,2.08,0.06,NA,NA,NA
482,R11,NA,2010-09-30T00:00:00Z,5.13,G6,NA,1.7,0.33,0.14,3.53,0.1,1.17,0.06,0.02,0.06,0.35,0,3.17,2,0.11,NA,NA,NA
158,R12,NA,2009-08-28T00:00:00Z,5.86,G6,NA,1.27,0.22,0.08,3.59,0.15,0.9,0.22,0.05,0.04,0.36,0.02,2.77,1.74,0.17,NA,NA,NA
157,R12,NA,2009-08-29T00:00:00Z,5.44,G6,NA,1.33,0.28,0.12,3.44,0.33,1.13,0.25,0.06,0.04,0.42,0,2.84,2.86,0.13,NA,NA,NA
170,R12,NA,2009-10-25T00:00:00Z,5.57,G6,NA,0.66,0.15,0.13,2.1,0.18,0.52,0.29,0.12,0.03,0.33,0,2.52,2.12,0.09,NA,NA,NA
179,R12,NA,2009-12-03T00:00:00Z,6.27,G6,NA,0.67,0.16,0.25,2.37,0.24,0.56,0.13,0.04,0.03,0.32,0,2.35,2.33,0.08,NA,NA,NA
483,R12,NA,2010-09-30T00:00:00Z,5.19,G6,NA,1.5,0.25,0.12,2.94,0.11,0.8,0.2,0.02,0.05,0.43,0,3.83,1.88,0.11,NA,NA,NA
166,R13,NA,2009-07-30T00:00:00Z,6.61,G6,NA,1.95,0.56,0.06,4.62,0.52,2.1,0,0.01,0.1,0.33,0.05,4.01,1.76,0.05,NA,NA,NA
155,R13,NA,2009-08-28T00:00:00Z,6.4,G6,NA,1.51,0.45,0.07,3.88,0.35,1.8,0,0.01,0.07,0.27,0,3.83,1.66,0.05,NA,NA,NA
153,R13,NA,2009-08-29T00:00:00Z,6.5,G6,NA,2.36,0.75,0.03,5.37,0.8,2.89,0,0,0.1,0.45,0.2,4.65,1.02,0.14,NA,NA,NA
171,R13,NA,2009-10-25T00:00:00Z,6.15,G6,NA,0.75,0.27,0.1,2.13,0.28,1.12,0.01,0,0.07,0.3,0,2.96,2.57,0.09,NA,NA,NA
180,R13,NA,2009-12-03T00:00:00Z,6.38,G6,NA,0.84,0.3,0.13,2.11,0.27,1.24,0,0.01,0.07,0.3,0.16,2.69,2.8,0.15,NA,NA,NA
484,R13,NA,2010-09-30T00:00:00Z,5.94,G6,NA,1.6,0.43,0.09,3.53,0.32,1.65,0.01,0.02,0.06,0.39,0.24,4.42,1.52,0.13,NA,NA,NA
151,R14,NA,2009-08-28T00:00:00Z,5.51,G6,NA,0.98,0.19,0.15,2.86,0.09,0.71,0.01,0.01,0.03,0.25,0.01,3.07,2.1,0.1,NA,NA,NA
149,R14,NA,2009-08-29T00:00:00Z,5.61,G6,NA,0.96,0.19,0.13,2.6,0.15,0.7,0.01,0.01,0.02,0.31,0.21,3.05,2.23,0.23,NA,NA,NA
172,R14,NA,2009-10-25T00:00:00Z,5.34,G6,NA,0.59,0.18,0.22,1.94,0.24,0.63,0.02,0.01,0.02,0.3,0,2.68,2.96,0.09,NA,NA,NA
181,R14,NA,2009-12-03T00:00:00Z,6.16,G6,NA,0.63,0.18,0.21,1.95,0.11,0.62,0.01,0.01,0.03,0.29,0.08,2.52,2.76,0.12,NA,NA,NA
485,R14,NA,2010-09-30T00:00:00Z,5.37,G6,NA,1.04,0.17,0.16,2.4,0.07,0.61,0.01,0.02,0.03,0.36,0.08,3.58,2.14,0.13,NA,NA,NA
162,R15,NA,2009-07-30T00:00:00Z,5.82,G6,NA,0.95,0.21,0.08,2.72,0.16,1.03,0.01,0,0.03,0.29,0,2.99,2.54,0.11,NA,NA,NA
173,R15,NA,2009-10-25T00:00:00Z,5.56,G6,NA,0.72,0.19,0.13,2.22,0.12,0.81,0.01,0.01,0.04,0.29,0,2.91,2.03,0.08,NA,NA,NA
182,R15,NA,2009-12-03T00:00:00Z,6.34,G6,NA,0.68,0.16,0.13,1.99,0.14,0.68,0.01,0.01,0.04,0.3,0.07,2.79,2.16,0.13,NA,NA,NA
486,R15,NA,2010-09-30T00:00:00Z,5.4,G6,NA,1.11,0.2,0.13,2.47,0.09,0.8,0.01,0.02,0.04,0.33,0.15,3.57,2.27,0.13,NA,NA,NA
459,I7,NA,2010-08-26T00:00:00Z,5.48,G8,NA,1.23,0.68,2.21,8.08,0.99,2.66,0.08,1.21,0.08,0.32,0.36,2.1,8.9,0.33,NA,NA,NA
478,I7,NA,2010-09-30T00:00:00Z,5.37,G8,NA,1.08,0.5,0.93,5.15,0.47,2.39,0.04,0.4,0.06,0.3,0.19,1.98,11.16,0.37,NA,NA,NA
624,I7,NA,2011-04-14T00:00:00Z,5.3,G8,NA,0.89,0.3,0.29,3.13,0.38,1.4,0.01,0.09,0.03,0.27,0.63,2.76,4.12,0.24,NA,NA,NA
649,I7,NA,2011-05-24T00:00:00Z,5.41,G8,NA,1.06,0.25,0.17,3.51,0.23,1.07,0.01,0.05,0.04,0.35,0.04,2.61,2.24,0.12,NA,NA,NA
668,I7,NA,2011-08-16T00:00:00Z,5.2,G8,NA,1.13,0.47,0.53,4.72,0.38,2.29,0.02,0.17,0.04,0.17,1.11,2.07,10.7,0.55,NA,NA,NA
728,I7,NA,2011-11-07T00:00:00Z,5.72,G8,NA,1.05,0.38,0.33,4.86,0.35,1.59,0.1,0.19,0.04,0.45,0.14,3.44,2.1,0.19,NA,NA,NA
751,I7,NA,2012-02-02T00:00:00Z,5.55,G8,NA,0.95,0.43,0.07,3.13,0.29,1.97,0.01,0.02,0.03,0.32,3.47,3.44,1.47,0.81,NA,NA,NA
769,I7,NA,2012-03-22T00:00:00Z,5.61,G8,NA,1.32,0.36,0.1,4.36,0.24,1.53,0.01,0.02,0.05,0.32,0.96,3.72,2.48,0.32,NA,NA,NA
799,I7,NA,2012-04-24T00:00:00Z,5.6,G8,NA,1.18,0.34,0.22,4.76,0.25,1.64,0.01,0.05,0.04,0.39,0.32,3.3,5.88,0.25,NA,NA,NA
820,I7,NA,2012-07-31T00:00:00Z,NA,G8,NA,1.48,0.4,0.06,5.35,0.33,1.85,0.01,0.02,0.03,0.36,0.28,2.9,3.19,0.17,NA,NA,NA
845,I7,NA,2012-08-10T00:00:00Z,5.33,G8,NA,1.26,0.45,0.26,4.45,0.35,2.13,0.02,0.06,0.05,0.4,1.61,2.59,7.23,0.61,NA,NA,NA
2403,I7,NA,2013-09-03T00:00:00Z,6.08,G8,NA,1.72,0.44,0.05,6.5,0.36,1.89,0.01,0.02,0.05,0.33,0.81,1.74,4.04,0.33,0.003,0.061,0.043
2468,I7,NA,2014-06-13T00:00:00Z,6.02,G8,NA,1.62,0.42,0.26,5.61,0.45,1.86,0.01,0.02,0.05,0.34,0.23,2.53,6.2,0.26,0.003,0.099,0.083
2508,I7,NA,2014-06-14T00:00:00Z,6.12,G8,NA,1.62,0.43,0.26,4.99,0.44,1.69,0.01,0.05,0.05,0.29,0.13,2.4,6.45,0.22,0.003,NA,NA
2552,I7,NA,2014-06-16T00:00:00Z,5.89,G8,NA,1.48,0.34,0.17,4.83,0.45,1.45,0.01,0.02,0.1,0.47,0.05,2.55,4.2,0.18,0.003,0.069,0.052
2595,I7,15:00:00,2014-07-16T00:00:00Z,5.38,G8,NA,1.44,0.44,0.73,5.57,0.45,2.21,0.02,0.13,0.09,0.27,0.1,1.44,18.24,0.51,0.01,0.337,0.302
458,I8,NA,2010-08-26T00:00:00Z,5.35,G8,NA,1.37,0.37,0.52,4.73,0.27,1.27,0.03,0.27,0.05,0.3,0,2.65,3.4,0.09,NA,NA,NA
479,I8,NA,2010-09-30T00:00:00Z,5.27,G8,NA,1.34,0.35,0.41,4.28,0.23,1.27,0.02,0.19,0.04,0.38,0.05,2.78,4.07,0.19,NA,NA,NA
623,I8,NA,2011-04-14T00:00:00Z,5.27,G8,NA,0.86,0.24,0.2,2.78,0.13,0.85,0.01,0.07,0.02,0.36,0.21,3.22,2.24,0.11,NA,NA,NA
648,I8,NA,2011-05-24T00:00:00Z,5.33,G8,NA,1.01,0.55,1.69,5.76,0.93,1.06,0.03,1.43,0.03,0.35,0.05,2.73,2.61,0.11,NA,NA,NA
669,I8,NA,2011-08-16T00:00:00Z,5.11,G8,NA,1.2,0.33,0.43,3.87,0.28,1.25,0.01,0.2,0.02,0.2,0.02,2.74,4.44,0.14,NA,NA,NA
452,K6d,NA,2010-08-26T00:00:00Z,7.48,G8,x,5.33,1.82,2.39,10.17,2.49,5.12,2.86,2.61,NA,NA,NA,NA,NA,NA,NA,NA,NA
473,K6d,NA,2010-09-29T00:00:00Z,7.22,G8,x,4.15,1.42,0.06,6.67,1.67,5.63,3.52,0.62,0.21,0.59,0.03,4.17,2.31,0.32,NA,NA,NA
609,K6d,NA,2011-04-07T00:00:00Z,6.83,G8,x,3.4,1.41,0.56,7.82,1.93,5.69,1.98,0.8,0.14,0.8,0.32,4.8,1.58,0.5,NA,NA,NA
630,K6d,NA,2011-04-14T00:00:00Z,6.6,G8,x,2.44,1,0.49,7.73,1.46,4.12,1.02,0.45,0.09,0.43,0.48,4.39,0.62,0.2,NA,NA,NA
655,K6d,NA,2011-05-24T00:00:00Z,6.7,G8,x,2.45,1.01,0.52,7.95,1.48,4.02,1.07,0.53,0.03,0.34,0.52,4.34,0.54,0.23,NA,NA,NA
680,K6d,NA,2011-08-16T00:00:00Z,6.9,G8,x,3.01,1.05,0.07,8.98,1.58,4.7,1.15,0.1,0.08,0.43,0.44,4.19,0.99,0.22,NA,NA,NA
883,K6d,10:55:00,2012-10-29T00:00:00Z,6.66,G8,x,2.25,0.69,0.37,7.4,1.43,3.39,0.09,0.35,0.07,0.63,1.3,3.61,1.68,0.57,0.015,0.045,0.016
909,K6d,11:55:00,2012-10-30T00:00:00Z,6.51,G8,x,2.43,0.77,0.19,8.84,1.26,3.63,0.2,0.24,0.05,0.48,0.8,4.17,0.86,0.27,-0.003,0.019,0.009
453,K6s,NA,2010-08-26T00:00:00Z,7.33,G8,NA,1.68,1.17,0.07,5.81,0.99,8.47,24.1,0.86,0.27,0.36,0,0.4,6.87,1.16,NA,NA,NA
472,K6s,NA,2010-09-29T00:00:00Z,7.14,G8,NA,1.78,0.68,0.08,6.59,0.79,6.23,24.98,2.36,0.18,0.36,0.04,0.88,4.69,0.94,NA,NA,NA
629,K6s,NA,2011-04-14T00:00:00Z,6.19,G8,NA,1.46,0.25,0.12,6.12,0.61,1.39,3.78,0.36,0.02,0.35,0.93,3.66,1.16,0.22,NA,NA,NA
654,K6s,NA,2011-05-24T00:00:00Z,6.79,G8,NA,0.69,0.16,0.53,2.66,0.15,0.5,0.01,0.16,0.1,0.36,0.26,3.01,2.99,0.2,NA,NA,NA
679,K6s,NA,2011-08-16T00:00:00Z,6.35,G8,NA,1.77,0.85,0.1,7.54,0.68,3.67,6.56,4.42,0.06,0.26,0.06,0.94,3.43,0.56,NA,NA,NA
723,K6s,NA,2011-11-04T00:00:00Z,6.55,G8,NA,1.13,0.37,0.06,5.3,0.4,1.97,4.42,1.25,0.06,0.52,0.02,2.03,3.13,0.44,NA,NA,NA
754,K6s,NA,2012-02-08T00:00:00Z,6.4,G8,NA,1.51,0.27,0.05,5.59,0.51,1.6,2.48,0.5,0.03,0.31,0.51,4.2,0.59,0.21,NA,NA,NA
777,K6s,NA,2012-03-22T00:00:00Z,6.35,G8,NA,1.78,0.31,0.1,7.35,0.7,1.63,1.95,0.2,0.01,0.29,0.13,4.99,0.71,0.13,NA,NA,NA
807,K6s,NA,2012-04-24T00:00:00Z,6.33,G8,NA,1.6,0.3,0.1,6.63,0.81,1.63,1.95,0.31,0.02,0.43,0.11,2.78,1.44,0.12,NA,NA,NA
817,K6s,NA,2012-07-31T00:00:00Z,NA,G8,NA,1.75,0.53,0.07,6.95,0.68,2.32,1.94,1.32,0.04,0.32,0.38,0.94,4.68,0.31,NA,NA,NA
838,K6s,NA,2012-08-10T00:00:00Z,6.11,G8,NA,1.66,0.55,0.09,6.63,0.79,2.25,1.71,2.54,0.06,0.59,0.37,1.14,4.16,0.48,NA,NA,NA
882,K6s,10:50:00,2012-10-29T00:00:00Z,6.5,G8,NA,1.87,0.53,0.13,7.33,0.65,2.47,2.16,0.54,0.05,0.39,0.03,3.08,1.83,0.27,0.181,0.03,0.017
908,K6s,11:50:00,2012-10-30T00:00:00Z,6.55,G8,NA,1.94,0.54,0.12,7.7,0.64,2.54,2.19,0.48,0.05,0.44,0.06,2.73,1.87,0.28,0.159,0.023,0.016
2390,K6s,NA,2013-08-20T00:00:00Z,6.87,G8,NA,2.78,0.44,0.14,6.13,0.98,2.46,1.19,0.46,0.07,0.57,0.25,1.88,2.53,0.42,0.112,0.024,0.011
2407,K6s,NA,2013-09-03T00:00:00Z,6.82,G8,NA,2.31,0.56,0.07,7.82,0.76,2.64,1.98,1.1,0.06,0.44,0.05,1.11,2.48,0.25,0.151,0.033,0.016
2458,K6s,NA,2014-06-06T00:00:00Z,6.63,G8,NA,1.44,0.38,0.1,5.38,0.65,1.98,1.02,0.51,0.04,0.27,0.04,2.17,3.03,0.24,0.084,NA,NA
2472,K6s,NA,2014-06-13T00:00:00Z,6.78,G8,NA,1.51,0.37,0.09,5.9,0.59,2.01,1.16,0.58,0.06,0.32,0.03,1.73,3.25,0.2,0.073,NA,NA
2512,K6s,NA,2014-06-14T00:00:00Z,6.53,G8,NA,1.55,0.37,0.08,5.59,0.58,1.93,1.2,0.54,0.06,0.32,0.07,1.63,3.4,0.18,0.063,0.035,0.025
2556,K6s,NA,2014-06-16T00:00:00Z,6.69,G8,NA,2.21,0.35,0.07,4.92,0.65,1.78,1.13,0.62,0.09,0.64,0.02,1.79,3.41,0.19,0.061,0.027,0.022
2599,K6s,14:10:00,2014-07-16T00:00:00Z,6.26,G8,NA,2.72,0.49,0.08,7.25,0.68,2.61,1.46,1.03,0.05,0.36,0.06,1.6,3,0.23,0.084,0.045,0.038
2665,K6S,10:30:00,2014-09-22T00:00:00Z,6.9,G8,NA,1.57,0.56,0.11,6.01,0.47,2.81,1.66,1.31,0.07,0.33,0.03,2.13,2.14,0.23,0.149,0.025,0.018
2666,K6S,11:45:00,2014-09-22T00:00:00Z,6.62,G8,NA,1.64,0.57,0.1,6.03,0.46,2.89,1.72,1.51,0.09,0.33,0.03,2.15,2.19,0.25,0.131,0.022,0.016
2667,K6S,12:25:00,2014-09-22T00:00:00Z,7.05,G8,NA,1.66,0.57,0.09,6.04,0.47,2.97,1.77,1.51,0.08,0.36,0.05,2.1,2.39,0.29,0.166,0.021,0.016
2679,K6S,13:05:00,2014-10-07T00:00:00Z,6.16,G8,NA,1.71,0.59,0.06,6.3,0.51,3.22,2.13,1.53,0.07,0.85,0.07,2.77,2.62,0.29,0.165,0.037,0.03
2680,K6S,14:00:00,2014-10-07T00:00:00Z,6.63,G8,NA,1.63,0.54,0.05,6.05,0.47,2.94,2.02,1.46,0.09,0.79,0.06,3.09,2.63,0.27,0.154,0.031,0.025
2681,K6S,15:20:00,2014-10-07T00:00:00Z,6.57,G8,NA,1.59,0.52,0.08,5.93,0.47,2.92,2.14,1.44,0.08,0.81,0.15,3.21,3.15,0.33,0.139,0.035,0.03
2682,K6s,16:20:00,2014-10-07T00:00:00Z,6.9,G8,NA,1.64,0.55,0.06,6.13,0.51,3.03,2.11,1.52,0.08,0.79,0.11,3.28,3.4,0.28,0.144,0.039,0.03
2700,K6S,08:30:00,2014-10-08T00:00:00Z,6.66,G8,NA,1.67,0.56,0.05,5.99,0.48,3.03,2.14,1.16,0.09,0.82,0.13,2.78,3.08,0.3,0.15,0.039,0.033
2701,K6S,09:30:00,2014-10-08T00:00:00Z,6.56,G8,NA,1.69,0.57,0.05,5.99,0.48,3.1,2.21,1.22,0.09,0.88,0.13,3.15,3,0.27,0.136,0.036,0.03
2702,K6S,10:40:00,2014-10-08T00:00:00Z,6.86,G8,NA,1.72,0.59,0.06,5.99,0.51,3.22,2.33,1.21,0.08,0.94,0.14,3.26,3.56,0.27,0.136,0.039,0.033
2703,K6S,11:35:00,2014-10-08T00:00:00Z,6.86,G8,NA,1.69,0.58,0.06,5.94,0.51,3.2,2.4,1.35,0.09,0.89,0.15,3.16,3.67,0.26,0.118,0.037,0.03
451,K7d,NA,2010-08-25T00:00:00Z,5.88,G8,x,1.82,0.41,0.42,6.93,0.71,1.95,0.02,0.26,0.05,0.41,0.98,5.22,0.6,0.3,NA,NA,NA
475,K7d,NA,2010-09-29T00:00:00Z,5.95,G8,x,1.71,0.6,0.05,5.49,0.85,3.36,0.24,0.02,0.04,0.31,0.39,4.39,0.41,0.18,NA,NA,NA
608,K7d,NA,2011-04-07T00:00:00Z,5.92,G8,x,1.48,0.4,0.18,5.37,0.42,2.11,0.01,0.13,0.02,0.31,0.45,4.21,0.19,0.1,NA,NA,NA
632,K7d,NA,2011-04-14T00:00:00Z,5.95,G8,x,1.45,0.39,0.23,5.34,0.43,2.02,0.01,0.16,0.02,0.32,0.51,4.17,0.19,0.12,NA,NA,NA
657,K7d,NA,2011-05-24T00:00:00Z,6.07,G8,x,1.63,0.45,0.66,6.64,0.65,2.1,0.01,0.46,0.03,0.3,0.73,4.27,0.27,0.21,NA,NA,NA
678,K7d,NA,2011-08-16T00:00:00Z,5.84,G8,x,1.68,0.46,0.12,6.17,0.67,2.53,0.01,0.08,0.01,0.29,0.62,4.25,0.35,0.14,NA,NA,NA
884,K7d,11:18:00,2012-10-29T00:00:00Z,6.31,G8,x,1.78,0.37,0.07,6.13,0.58,2.14,0.01,0.05,0.02,0.58,0.99,4.15,0.45,0.33,0.027,0.011,0.007
906,K7d,11:40:00,2012-10-30T00:00:00Z,6.01,G8,x,1.69,0.38,0.09,6.06,0.51,2.12,0.01,0.07,0.02,0.5,0.92,4.02,0.43,0.26,0.005,0.007,0.002
450,K7s,NA,2010-08-25T00:00:00Z,5.74,G8,NA,1.68,0.46,0.2,5.02,0.85,2.67,0.07,0.13,0.07,0.44,0.24,4.14,0.76,0.56,NA,NA,NA
474,K7s,NA,2010-09-29T00:00:00Z,5.52,G8,NA,1.59,0.36,0.01,4.96,0.23,2.14,0.25,0.02,0.05,0.34,0.57,4.5,0.76,0.3,NA,NA,NA
631,K7s,NA,2011-04-14T00:00:00Z,5.98,G8,NA,1.41,0.36,0,4.79,0.4,2.12,0.01,0.02,0.03,0.36,0.54,4.09,0.2,0.17,NA,NA,NA
658,K7s,NA,2011-05-24T00:00:00Z,6.02,G8,NA,1.54,0.38,0.08,5.34,0.45,2.21,0.01,0.07,0.03,0.3,0.6,4.27,0.25,0.19,NA,NA,NA
677,K7s,NA,2011-08-16T00:00:00Z,5.41,G8,NA,1.59,0.37,0.02,4.65,0.32,2.39,0.07,0.02,0.06,0.32,0.02,3.44,0.64,0.02,NA,NA,NA
724,K7s,NA,2011-11-04T00:00:00Z,5.86,G8,NA,1.29,0.39,0.05,4.91,0.47,2.31,0.01,0.02,0.03,0.32,0.13,3.87,0.56,0.05,NA,NA,NA
753,K7s,NA,2012-02-08T00:00:00Z,6.06,G8,NA,1.62,0.38,0.01,5.03,0.39,2.79,0.01,0.02,0.02,0.32,0.89,3.89,0.08,0.36,NA,NA,NA
775,K7s,NA,2012-03-22T00:00:00Z,6.07,G8,NA,1.75,0.38,0.01,5.41,0.38,2.11,0.01,0.02,0.02,0.32,0.82,3.76,0.18,0.22,NA,NA,NA
795,K7s,NA,2012-04-24T00:00:00Z,6.14,G8,NA,1.47,0.35,0,5.62,0.38,2.02,0.01,0.02,0.03,0.33,0.15,3.66,0.34,0.08,NA,NA,NA
