WINTER,Date,STA1,STA2,STA3,STA4,STA5,STA6,STA7,STA8,STA9,STA10,STA11,STA12,STA13,STA14,STA15,STA16,STA17,STA19,STA20,STA21,STAHQ
2012,2012-01-30,-99,99,-99,-99,-99,-99,-99,-99,154,-99,-99,-99,-99,-99,-99,-99,137,118,-99,-99,55
2012,2012-02-06,-99,83,-99,-99,-99,-99,-99,-99,138,-99,-99,-99,-99,-99,-99,-99,129,114,-99,-99,59
2012,2012-02-13,-99,82,-99,-99,-99,-99,-99,-99,134,-99,-99,-99,-99,-99,-99,-99,130,111,-99,-99,48
2012,2012-02-21,-99,84,-99,-99,-99,-99,-99,-99,148,-99,-99,-99,-99,-99,-99,-99,121,126,-99,-99,41
2012,2012-02-27,-99,116,-99,-99,-99,-99,-99,-99,196,-99,-99,-99,-99,-99,-99,-99,171,163,-99,-99,39
2012,2012-03-06,-99,163,-99,-99,-99,-99,-99,-99,257,-99,-99,-99,-99,-99,-99,-99,222,238,-99,-99,81
2012,2012-03-12,-99,94,-99,-99,-99,-99,-99,-99,175,-99,-99,-99,-99,-99,-99,-99,200,175,-99,-99,29
2012,2012-03-19,-99,0,-99,-99,-99,-99,-99,-99,40,-99,-99,-99,-99,-99,-99,-99,111,63,-99,-99,0
2012,2012-03-26,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,0
2013,2013-01-02,-99,120,-99,-99,-99,-99,-99,-99,149,-99,-99,-99,-99,-99,-99,-99,137,126,-99,-99,77
2013,2013-01-07,-99,128,-99,-99,-99,-99,-99,-99,184,-99,-99,-99,-99,-99,-99,-99,140,140,-99,-99,76
2013,2013-01-15,-99,78,-99,-99,-99,-99,-99,-99,80,-99,-99,-99,-99,-99,-99,-99,87,76,-99,-99,69
2013,2013-01-22,-99,93,-99,-99,-99,-99,-99,-99,145,-99,-99,-99,-99,-99,-99,-99,116,127,-99,-99,55
2013,2013-01-28,-99,86,-99,-99,-99,-99,-99,-99,144,-99,-99,-99,-99,-99,-99,-99,118,113,-99,-99,91
2013,2013-02-04,-99,52,-99,-99,-99,-99,-99,-99,95,-99,-99,-99,-99,-99,-99,-99,92,83,-99,-99,60
2013,2013-02-12,-99,135,-99,-99,-99,-99,-99,-99,156,-99,-99,-99,-99,-99,-99,-99,149,152,-99,-99,91
2013,2013-02-19,-99,107,-99,-99,-99,-99,-99,-99,140,-99,-99,-99,-99,-99,-99,-99,134,134,-99,-99,85
2013,2013-02-25,-99,191,-99,-99,-99,-99,-99,-99,241,-99,-99,-99,-99,-99,-99,-99,194,223,-99,-99,139
2013,2013-03-04,-99,184,-99,-99,-99,-99,-99,-99,251,-99,-99,-99,-99,-99,-99,-99,205,221,-99,-99,82
2013,2013-03-11,-99,116,-99,-99,-99,-99,-99,-99,181,-99,-99,-99,-99,-99,-99,-99,214,196,-99,-99,61
2013,2013-03-18,-99,88,-99,-99,-99,-99,-99,-99,158,-99,-99,-99,-99,-99,-99,-99,204,160,-99,-99,60
2013,2013-03-25,-99,98,-99,-99,-99,-99,-99,-99,195,-99,-99,-99,-99,-99,-99,-99,255,236,-99,-99,60
2013,2013-04-01,-99,75,-99,-99,-99,-99,-99,-99,172,-99,-99,-99,-99,-99,-99,-99,252,183,-99,-99,0
2013,2013-04-08,-99,0,-99,-99,-99,-99,-99,-99,129,-99,-99,-99,-99,-99,-99,-99,213,160,-99,-99,0
2013,2013-04-15,-99,0,-99,-99,-99,-99,-99,-99,89,-99,-99,-99,-99,-99,-99,-99,204,137,-99,-99,0
2013,2013-04-22,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,169,0,-99,-99,0
2013,2013-04-29,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,61,0,-99,-99,0
2013,2013-05-06,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,0
2014,2013-12-16,-99,122,-99,-99,-99,-99,-99,-99,139,-99,-99,-99,-99,-99,-99,-99,98,120,-99,-99,-99
2014,2013-12-24,-99,21,-99,-99,-99,-99,-99,-99,48,-99,-99,-99,-99,-99,-99,-99,20,45,-99,-99,-99
2014,2013-12-31,-99,72,-99,-99,-99,-99,-99,-99,142,-99,-99,-99,-99,-99,-99,-99,95,126,-99,-99,94
2014,2014-01-07,-99,105,-99,-99,-99,-99,-99,-99,120,-99,-99,-99,-99,-99,-99,-99,104,126,-99,-99,96
2014,2014-01-13,-99,67,-99,-99,-99,-99,-99,-99,80,-99,-99,-99,-99,-99,-99,-99,70,86,-99,-99,81
2014,2014-01-21,-99,80,-99,-99,-99,-99,-99,-99,118,-99,-99,-99,-99,-99,-99,-99,93,104,-99,-99,86
2014,2014-01-28,-99,104,-99,-99,-99,-99,-99,-99,140,-99,-99,-99,-99,-99,-99,-99,116,134,-99,-99,104
2014,2014-02-03,-99,94,-99,-99,-99,-99,-99,-99,145,-99,-99,-99,-99,-99,-99,-99,122,131,-99,-99,100
2014,2014-02-10,-99,175,-99,-99,-99,-99,-99,-99,205,-99,-99,-99,-99,-99,-99,-99,180,194,-99,-99,108
2014,2014-02-18,-99,221,-99,-99,-99,-99,-99,-99,258,-99,-99,-99,-99,-99,-99,-99,227,242,-99,-99,229
2014,2014-02-24,-99,204,-99,-99,-99,-99,-99,-99,269,-99,-99,-99,-99,-99,-99,-99,252,260,-99,-99,195
2014,2014-03-03,-99,197,-99,-99,-99,-99,-99,-99,262,-99,-99,-99,-99,-99,-99,-99,231,260,-99,-99,163
2014,2014-03-10,-99,197,-99,-99,-99,-99,-99,-99,262,-99,-99,-99,-99,-99,-99,-99,240,254,-99,-99,157
2014,2014-03-17,-99,231,-99,-99,-99,-99,-99,-99,326,-99,-99,-99,-99,-99,-99,-99,305,327,-99,-99,162
2014,2014-03-24,-99,313,-99,-99,-99,-99,-99,-99,385,-99,-99,-99,-99,-99,-99,-99,374,384,-99,-99,95
2014,2014-04-02,-99,233,-99,-99,-99,-99,-99,-99,325,-99,-99,-99,-99,-99,-99,-99,335,298,-99,-99,79
2014,2014-04-07,-99,182,-99,-99,-99,-99,-99,-99,279,-99,-99,-99,-99,-99,-99,-99,340,285,-99,-99,41
2014,2014-04-14,-99,14,-99,-99,-99,-99,-99,-99,156,-99,-99,-99,-99,-99,-99,-99,252,180,-99,-99,6
2014,2014-04-21,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,197,85,-99,-99,0
2014,2014-04-28,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,161,0,-99,-99,0
2014,2014-05-06,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,96,0,-99,-99,0
2014,2014-05-12,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,0
2015,2014-12-02,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,40,40,-99,-99,0
2015,2014-12-10,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,124,94,-99,-99,0
2015,2014-12-15,-99,57,-99,-99,-99,-99,-99,-99,96,-99,-99,-99,-99,-99,-99,-99,119,92,-99,-99,39
2015,2014-12-22,-99,65,-99,-99,-99,-99,-99,-99,103,-99,-99,-99,-99,-99,-99,-99,110,92,-99,-99,26
2015,2014-12-29,-99,65,-99,-99,-99,-99,-99,-99,52,-99,-99,-99,-99,-99,-99,-99,120,74,-99,-99,15
2015,2015-01-05,-99,80,-99,-99,-99,-99,-99,-99,138,-99,-99,-99,-99,-99,-99,-99,155,124,-99,-99,74
2015,2015-01-12,-99,93,-99,-99,-99,-99,-99,-99,128,-99,-99,-99,-99,-99,-99,-99,171,132,-99,-99,77
2015,2015-01-20,-99,79,-99,-99,-99,-99,-99,-99,150,-99,-99,-99,-99,-99,-99,-99,180,135,-99,-99,61
2015,2015-01-26,-99,90,-99,-99,-99,-99,-99,-99,160,-99,-99,-99,-99,-99,-99,-99,171,130,-99,-99,55
