WINTER,Date,STA2
2008,2008-04-14,46
2008,2008-04-21,0
2008,2008-04-28,0
2008,2008-05-05,0
2008,2008-05-12,0
2008,2008-05-20,0
2009,2008-12-02,10
2009,2008-12-08,10
2009,2008-12-15,13
2009,2008-12-23,23
2009,2008-12-29,25
2009,2009-01-05,22
2009,2009-01-12,37
2009,2009-01-20,35
2009,2009-01-26,49
2009,2009-02-02,49
2009,2009-02-09,58
2009,2009-02-17,51
2009,2009-02-24,61
2009,2009-03-03,60
2009,2009-03-10,50
2009,2009-03-16,50
2009,2009-03-23,44
2009,2009-03-30,32
2009,2009-04-06,0
2009,2009-04-13,0
2009,2009-04-20,0
2009,2009-04-27,0
2009,2009-05-04,0
2009,2009-05-11,0
2010,2009-12-07,0
2010,2009-12-16,22
2010,2009-12-21,21
2010,2009-12-28,19
2010,2010-01-06,29
2010,2010-01-11,30
2010,2010-01-19,37
2010,2010-01-26,35
2010,2010-02-01,36
2010,2010-02-08,34
2010,2010-02-15,31
2010,2010-02-22,32
2010,2010-03-02,49
2010,2010-03-08,32
2010,2010-03-16,13
2010,2010-03-22,0
2010,2010-03-31,0
2010,2010-04-05,0
2011,2010-12-29,20
2011,2011-01-04,0
2011,2011-01-10,0
2011,2011-01-20,22
2011,2011-01-25,26
2011,2011-01-31,31
2011,2011-02-07,46
2011,2011-02-14,49
2011,2011-02-22,44
2011,2011-03-01,60
2011,2011-03-08,46
2011,2011-03-14,65
2011,2011-03-21,48
2011,2011-03-28,52
2011,2011-04-06,56
2011,2011-04-12,0
2011,2011-04-18,0
2011,2011-04-25,0
2011,2011-05-02,0
2011,2011-05-10,0
2012,2011-12-27,0
2012,2012-01-03,0
2012,2012-01-09,0
2012,2012-01-18,9
2012,2012-01-23,12
2012,2012-01-30,21
2012,2012-02-06,16
2012,2012-02-13,19
2012,2012-02-21,19
2012,2012-02-27,27
2012,2012-03-06,36
2012,2012-03-12,34
2012,2012-03-19,0
2012,2012-03-26,0
2013,2013-01-02,24
2013,2013-01-07,24
2013,2013-01-15,21
2013,2013-01-22,20
2013,2013-01-28,28
2013,2013-02-04,15
2013,2013-02-12,39
2013,2013-02-19,32
2013,2013-02-25,48
2013,2013-03-04,46
2013,2013-03-11,37
2013,2013-03-18,26
2013,2013-03-25,31
2013,2013-04-01,31
2013,2013-04-08,0
2013,2013-04-15,0
2013,2013-04-22,0
2013,2013-04-29,0
2013,2013-05-06,0
2014,2013-12-16,10
2014,2013-12-24,1
2014,2013-12-31,13
2014,2014-01-07,18
2014,2014-01-13,18
2014,2014-01-21,17
2014,2014-01-27,17
2014,2014-02-03,20
2014,2014-02-10,30
2014,2014-02-18,46
2014,2014-02-24,51
2014,2014-03-03,49
2014,2014-03-10,50
2014,2014-03-17,57
2014,2014-03-24,81
2014,2014-04-02,64
2014,2014-04-07,55
2014,2014-04-14,4
2014,2014-04-21,0
2014,2014-04-28,0
2014,2014-05-06,0
2014,2014-05-12,0
2015,2014-12-02,0
2015,2014-12-10,0
2015,2014-12-15,13
2015,2014-12-22,11
2015,2014-12-29,10
2015,2015-01-05,8
2015,2015-01-12,11
2015,2015-01-20,10
2015,2015-01-26,9
2015,2015-02-03,21
2015,2015-02-10,44
2015,2015-02-19,29
2015,2015-02-26,36
2015,2015-03-02,50
2015,2015-03-09,46
2015,2015-03-16,46
2015,2015-03-23,52
2015,2015-03-31,50
2015,2015-04-02,45
2015,2015-04-06,28
2015,2015-04-13,26
2015,2015-04-20,0
2015,2015-04-27,0
2016,2016-01-04,0
2016,2016-01-11,8
2016,2016-01-19,9
2016,2016-01-26,9
2016,2016-02-01,10
2016,2016-02-08,10
2016,2016-02-17,10
2016,2016-02-22,12
2016,2016-02-29,6
2016,2016-03-08,6
2016,2016-03-14,0
2016,2016-03-22,0
2016,2016-03-29,0
2017,2016-12-13,20
2017,2016-12-20,22
2017,2017-01-04,25
2017,2017-01-11,39
2017,2017-01-17,27
2017,2017-01-23,38
2017,2017-02-06,38
2017,2017-02-14,66
2017,2017-02-21,70
2017,2017-02-27,33
2017,2017-03-06,23
2017,2017-03-13,13
2017,2017-03-20,20
2017,2017-03-28,19
2017,2017-04-03,36
2017,2017-04-10,29
2017,2017-04-17,0
2017,2017-04-24,0
2017,2017-05-01,0
2017,2017-05-08,0
2018,2017-12-11,0.1
2018,2017-12-18,0.13
2018,2017-12-26,0.28
2018,2018-01-02,0.22
2018,2018-01-08,0.29
2018,2018-01-16,0.21
2018,2018-01-24,0.27
2018,2018-01-29,0.27
2018,2018-02-05,0.42
2018,2018-02-13,0.48
2018,2018-02-20,0.57
2018,2018-02-26,0.26
2018,2018-03-05,0.2
2018,2018-03-14,0.32
2018,2018-03-19,0.32
2018,2018-03-27,0.19
2018,2018-04-02,0
2018,2018-04-09,0.05
2018,2018-04-16,0.08
2018,2018-04-23,0
2018,2018-04-30,0
2018,2018-05-07,0
